Structure_ID,Steere_ID,Database_Appearance,Site_Name,Site_Number,State,County,Period,Period_Certainty,Type,Structure,Shape_Class,Long_dimension,Short_dimension,Area_square_m,Functional_Class,Reference
1248,43,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,08 LW/LP,,Structure,17,Elliptical,6,6,29.87999916,D,Cable et al. 1997:148-162; Steere 2011
1249,44,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,08 LW/LP,,Structure,18,Elliptical,7,7,34.50999832,D,Cable et al. 1997:148-162; Steere 2011
1250,45,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,08 LW/LP,,Structure,21,Elliptical,6,6,24.87999916,D,Cable et al. 1997:148-162; Steere 2011
1251,46,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,08 LW/LP,,Structure,23,Elliptical,6,6,26.95999908,D,Cable et al. 1997:148-162; Steere 2011
1252,47,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,08 LW/LP,,Structure,24,Elliptical,7,7,35.65999985,D,Cable et al. 1997:148-162; Steere 2011
1253,48,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,08 LW/LP,,Structure,26,Elliptical,7,7,33.77999878,D,Cable et al. 1997:148-162; Steere 2011
1254,49,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,08 LW/LP,,Structure,27,Elliptical,8,8,47.15000153,D,Cable et al. 1997:148-162; Steere 2011
1255,50,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,08 LW/LP,,Structure,34,Elliptical,6,6,24.79000092,D,Cable et al. 1997:148-162; Steere 2011
1256,51,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,08 LW/LP,,Structure,35,Elliptical,7,7,33.36999893,D,Cable et al. 1997:148-162; Steere 2011
1257,52,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,08 LW/LP,,Structure,3,Elliptical,5,5,21.79999924,D,Cable et al. 1997:148-162; Steere 2011
1258,53,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,08 LW/LP,,Structure,10,Elliptical,5,5,17.63999939,D,Cable et al. 1997:148-162; Steere 2011
1259,54,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,C-1,Elliptical,2,2,4.519999981,S,Cable et al. 1997:148-162; Steere 2011
1260,55,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,C-2,Elliptical,2,2,2.400000095,S,Cable et al. 1997:148-162; Steere 2011
1261,56,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,C-3,Elliptical,2,2,4.599999905,S,Cable et al. 1997:148-162; Steere 2011
1262,57,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,C-4,Elliptical,2,2,3.529999971,S,Cable et al. 1997:148-162; Steere 2011
1263,58,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,C-5,Elliptical,2,2,3.299999952,S,Cable et al. 1997:148-162; Steere 2011
1264,59,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,C-6,Elliptical,2,2,2.539999962,S,Cable et al. 1997:148-162; Steere 2011
1265,60,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,C-7,Elliptical,1,1,1.149999976,S,Cable et al. 1997:148-162; Steere 2011
1266,61,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,C-8,Elliptical,2,2,2.950000048,S,Cable et al. 1997:148-162; Steere 2011
1267,62,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,C-10,Elliptical,3,3,6.829999924,S,Cable et al. 1997:148-162; Steere 2011
1268,63,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,C-11,Elliptical,2,2,4.519999981,S,Cable et al. 1997:148-162; Steere 2011
1269,64,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,32,Rectangular,9.029999733,2.269999981,20.5,D,Cable et al. 1997:148-162; Steere 2011
1270,65,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,31,Rectangular,5.25,3.75,19.69000053,D,Cable et al. 1997:148-162; Steere 2011
1271,66,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,40,Rectangular,5.480000019,3.369999886,18.46999931,D,Cable et al. 1997:148-162; Steere 2011
1272,67,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,41,Rectangular,5.320000172,2.880000114,15.31999969,D,Cable et al. 1997:148-162; Steere 2011
1273,68,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,42,Rectangular,6.269999981,3.400000095,21.31999969,D,Cable et al. 1997:148-162; Steere 2011
1274,69,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,1,Rectangular,6.320000172,6.010000229,37.97999954,D,Cable et al. 1997:148-162; Steere 2011
1275,70,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,4,Rectangular,5.260000229,4.940000057,25.97999954,D,Cable et al. 1997:148-162; Steere 2011
1276,71,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,5,Rectangular,4.71999979,4.550000191,21.46999931,D,Cable et al. 1997:148-162; Steere 2011
1277,72,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,7,Rectangular,6.820000172,6.360000134,43.36999893,D,Cable et al. 1997:148-162; Steere 2011
1278,73,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,11 PH/H,,Structure,30,Rectangular,6.480000019,6.269999981,40.63000107,D,Cable et al. 1997:148-162; Steere 2011
1279,391,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,1,Elliptical,7,7,36.90000153,D,Schroedl 1986; Steere 2011
1306,392,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,6,Elliptical,6,6,32.09999847,D,Schroedl 1986; Steere 2011
1281,393,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,10,Elliptical,7,7,38.59999847,D,Schroedl 1986; Steere 2011
